,naver,kakao,google,deliver,catchtable,coupang,good
조선갈비 발산점,,2.3,3.6,4.8,,,1
짬뽕지존 사이언스파크점,,3.2,,4.9,,4.9,1
오유미당 마곡점 ,,2.9,4,4.9,,4.9,1
바스버거 마곡점 ,4.44,3.5,4.3,4.8,,4.8,0
베이글리스트,,3.8,4.3,,,,1
할로나데이,4.59,,5,,,,1
백소정 목동41타워점 ,,5,,,,,0
목동포차 ,4.57,5,4.2,5,,,1
하이,4.49,4.3,3,,,5,0
쌍둥이네수제비대합탕,4.34,4.2,4,,,,1
카페 아리네,4.75,4.6,4.4,,,,1
금정 ,4.28,3.9,4.2,4.3,,4.9,1
이키이키,4.62,4,4.4,5,,4.9,1
젠틀한식탁 목동본점 ,4.44,,4.2,4.8,,,1
노모어피자 목동점 ,,3.7,4.5,4.9,,4.8,1
레몬버베나 ,,,4.1,4.7,,5,0
수작카츠 오목교점 ,,4.6,4.3,4.8,,4.7,1
용용선생 오목교점 ,,4.3,4.2,,,,1
서울버터샌드 ,4.91,,4.2,4.9,,4.9,0
37.5 목동점 ,4.27,3.1,4.1,4.6,,4.6,0
라라코스트 목동점 ,4.3,2.3,,4.8,,4.8,0
청기와타운 목동점 ,,3.6,3.9,,4.7,,0
후라토식당 목동SBS점,,3.3,3.2,,4,,0
오목집 목동본점 ,4.52,,4.2,4.8,,4.7,1
북창동순두부 목동점,4.21,1.8,3.5,4.8,,4.6,1
은행골 목동점 ,4.46,3.6,4.3,4.7,,4.6,0
스시범 목동점,4.39,3,4.1,4.7,,4.5,1
유빈양꼬치 본점 ,4.49,4.6,4.2,,,,1
라짜이마라탕 목동점 ,,3.4,,5,,4.8,1
경성주막1929 오목교점 ,,4,,,,,0
팔각도 목동점,4.77,3.5,4.3,,,,0
무슨클럽,4.83,4.1,4.5,,,,1
올드문래,4.47,3.9,4.4,,,,1
우리 여기서만나,4.83,4.1,4,,,,1
삼산회관 서울대입구역점,,4,3.5,4.9,,4.9,0
모힝 낙성대점,4.66,4.3,4.2,,4.3,,0
안녕 부산,,2.6,4.1,4.8,,,1
제일공간,4.94,4.7,4.7,5,,4.9,1
누들하우스,4.58,4.5,4.5,,,,1
우마이텐,,3.6,4,5,,,1
경원치킨,4.56,4,4.4,4.8,,5,1
벌소 낙성대점,,4.5,4.6,4.9,,4.9,1
보끔당 서울대입구점,,4.9,4,4.9,,4.9,1
술로름,,4,4,,5,,1
레스트아우룸,,3.8,4.6,,,,0
콘웰,4.88,,4,,,,1
우이락 망원본점,,3.2,4,4.8,4.2,5,1
무쇠김치삼겹 홍대점,4.42,2.7,4.8,,4.6,,0
주섬주섬,4.75,4.6,5,,,,0
아올,4.8,4.2,4.5,,,,1
카멜로연남,4.73,3.9,4.5,,,,1
랫댓 연남 ,4.47,3,3.8,,3.9,,0
에브리데이해피벌스데이,4.79,3.7,4.2,,,,1
콘하스 연남점,4.4,2.6,4.5,,,,1
하이디라오 홍대점 ,4.62,4.2,4.2,,4.7,,0
마라공방 홍대점,4.73,2.6,4.2,5,,4.9,1
삼미당 신촌점,,4.5,4.3,,,,1
고수찜닭,4.44,3.5,4.3,4.4,,4.7,1
숙대소반,4.38,3.6,4.3,4.8,,4.9,0
포36거리 숙대점,4.57,4.8,4.7,,,,1
네코노스시,4.82,3.3,4.3,4.9,,4.9,1
마시앤바시,4.56,3.6,4.4,,,,1
홍곱창 숙명여대점,4.56,3.9,4.4,4.8,,4.8,1
베나레스 숙대점,4.45,3.7,4.2,5,,4.8,0
와우신내떡,4.53,4.6,4.5,5,,,0
굴다리소곱창,4.37,4,4.3,,,,1
꽃보다크레페 ,4.62,4.7,4,,,,0
카페퓨엔테,,,4.3,,,5,1
갓잇 용산점,,4.1,4.4,5,,4.9,1
어글리소사이어티,4.54,,4.5,,,,1
하우마라탕,4.53,3.6,4.4,4.8,,,1
런던베이글뮤지엄 잠실점,,,4,,4.3,,1
뇽즈,4.7,,4.3,4.9,,4.9,0
편백가원 롯데백화점 영등포점,4.63,2.3,,,,,1
겐로쿠우동 타임스퀘어점 ,4.53,3.4,4.1,,,,1
79파운야드 목동41타워점,,4.2,4.2,5,,,1
다채샤브 오목교 본점,4.31,3.9,4,4.9,,4.9,1
취향마라 목동사거리점,,4.4,5,5,,4.9,1
아차산매운떡볶이 목동점 ,,4.8,,5,,4.9,1
양천뼈다귀 본점,,3.6,4.2,4.9,,4.8,1
봉평메밀막국수 목동본점,4.39,3.4,4,4.9,,,1
배떡 로제떡볶이 화곡점,,2.3,,4.9,,4.9,0
교촌치킨 화곡4동점,,3,,4.8,,4.8,1
육회랑연어먹은날 까치산점 ,4.64,,4,5,,5,1
등촌샤브칼국수 목동점,4.4,3.4,,5,,,1
오가네 찹쌀순대,4.44,4.3,4.3,4.8,,4.5,1
호식이두마리치킨 당산점,4.63,3.1,,4.7,,4.9,0
청담족발 본사직영점,,,3.6,5,,5,1
에머이 목동점,,3.6,,4.8,,4.8,1
동대문엽기떡볶이 등촌점,4.42,2.6,,4.7,,4.8,1
두찜 양천목동역점,4.47,4.2,4,4.9,,4.9,1
빅스타피자 서울당산점,,5,4,4.9,,4.8,0
목동명품 등갈비 신정점,,5,,5,,5,1
처갓집양념치킨 목동점,4.4,5,,4.8,,4.6,1
순살만공격 강서화곡점,,,,4.5,,4.8,0
셰프의 아이들,,4.5,4.5,,,,1
카페무네,5,5,4.1,,,,1
3km,4.66,4.7,4.7,,,,1
사쿠라테이엔 오목교점,4.6,3.1,4.1,4.8,,5,0
